,id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0,0,36,Travel_Frequently,599,Research & Development,24,3,Medical,1,4,Male,42,3,1,Laboratory Technician,4,Married,2596,5099,1,Y,Yes,13,3,2,80,1,10,2,3,10,0,7,8,0
1,1,35,Travel_Rarely,921,Sales,8,3,Other,1,1,Male,46,3,1,Sales Representative,1,Married,2899,10778,1,Y,No,17,3,4,80,1,4,3,3,4,2,0,3,0
2,2,32,Travel_Rarely,718,Sales,26,3,Marketing,1,3,Male,80,3,2,Sales Executive,4,Divorced,4627,16495,0,Y,No,17,3,4,80,2,4,3,3,3,2,1,2,0
3,3,38,Travel_Rarely,1488,Research & Development,2,3,Medical,1,3,Female,40,3,2,Healthcare Representative,1,Married,5347,13384,3,Y,No,14,3,3,80,0,15,1,1,6,0,0,2,0
4,4,50,Travel_Rarely,1017,Research & Development,5,4,Medical,1,2,Female,37,3,5,Manager,1,Single,19033,19805,1,Y,Yes,13,3,3,80,0,31,0,3,31,14,4,10,1
5,5,27,Travel_Rarely,566,Research & Development,2,3,Other,1,3,Female,56,3,2,Manufacturing Director,2,Single,4197,7103,5,Y,No,11,3,4,80,0,6,0,3,1,0,1,0,0
6,6,34,Travel_Rarely,944,Research & Development,10,4,Medical,1,2,Male,36,3,1,Laboratory Technician,1,Single,1281,16900,1,Y,No,13,3,1,80,0,1,2,3,1,0,0,0,0
7,7,40,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,4,Male,74,3,1,Laboratory Technician,4,Divorced,3067,12916,2,Y,No,12,3,4,80,1,6,3,2,3,2,1,2,0
8,8,51,Travel_Frequently,1297,Sales,6,3,Life Sciences,1,4,Male,43,1,2,Sales Executive,4,Married,6439,21221,8,Y,Yes,13,3,1,80,1,18,3,3,16,14,4,9,0
9,9,25,Travel_Rarely,806,Research & Development,9,1,Medical,1,3,Female,82,3,1,Laboratory Technician,3,Married,2741,7950,1,Y,No,15,3,3,80,1,9,2,2,9,7,7,8,0
10,10,35,Travel_Rarely,885,Research & Development,8,3,Technical Degree,1,2,Female,68,3,1,Research Scientist,3,Married,2691,13586,1,Y,Yes,21,4,3,80,1,10,2,3,10,9,1,9,0
11,11,29,Travel_Rarely,694,Research & Development,28,3,Life Sciences,1,3,Female,65,3,3,Manufacturing Director,3,Married,8628,13939,0,Y,No,11,3,4,80,0,10,2,3,9,0,0,7,0
12,12,38,Travel_Rarely,138,Research & Development,2,2,Life Sciences,1,4,Female,95,2,1,Research Scientist,2,Married,3280,7288,8,Y,Yes,12,3,3,80,0,4,2,2,2,2,2,2,0
13,13,48,Travel_Rarely,1287,Research & Development,2,2,Life Sciences,1,2,Male,81,2,1,Research Scientist,2,Married,2387,4759,2,Y,No,11,3,3,80,1,17,3,3,7,7,4,7,0
14,14,26,Travel_Rarely,884,Research & Development,1,2,Life Sciences,1,4,Male,62,3,1,Research Scientist,3,Single,3102,4284,6,Y,Yes,16,3,4,80,0,6,2,3,5,4,1,4,0
15,15,39,Travel_Frequently,640,Research & Development,25,4,Medical,1,1,Male,81,3,2,Research Scientist,3,Single,4449,6194,1,Y,No,21,4,3,80,0,20,2,2,20,9,6,10,0
16,16,33,Travel_Rarely,894,Research & Development,11,2,Life Sciences,1,3,Female,83,3,1,Research Scientist,3,Married,2539,16192,8,Y,No,12,3,4,80,1,4,2,3,2,2,2,2,0
17,17,52,Travel_Rarely,607,Research & Development,2,4,Technical Degree,1,2,Female,56,3,3,Manufacturing Director,3,Single,7441,21143,7,Y,No,13,3,4,80,0,28,5,1,10,2,0,8,0
18,18,42,Travel_Rarely,1495,Research & Development,9,4,Life Sciences,1,4,Female,87,3,4,Manager,1,Single,17169,3449,0,Y,No,14,3,4,80,0,21,1,1,20,7,0,8,0
